method,hf_outer_ratio,hf_gain_vs_obs,rel_data_error,bg_noise_amp,laplacian_var_ratio
observation,0.000152317577807009,1.0,,1.0,1.0
rl,0.00011457491825532874,0.7522107372813392,0.0762266520927372,1.1048216498406684,1.0342017309416098
damped_rl,0.00013055295017831413,0.8571101983161686,0.07959511039355616,0.9703057262106224,1.5694148192258195
tv_rl,0.00011888793375912571,0.7805266778154367,0.0754170778210498,0.9788072117197558,1.6065273475727007
